model: Logistic Regression with Quadratic = False
+------+-----+--------+--------+--------+
| PCA  |  pi | lambda | z-norm | minDCF |
|  7   | 0.5 |   1    | False  | 0.342  |
|  7   | 0.5 |   10   | False  | 0.379  |
|  7   | 0.5 |  100   | False  | 0.398  |
| None | 0.5 | 1e-05  |  True  | 0.276  |
| None | 0.5 | 0.0001 |  True  | 0.271  |
| None | 0.5 | 0.001  |  True  | 0.274  |
| None | 0.5 |  0.01  |  True  |  0.28  |
| None | 0.5 |  0.1   |  True  | 0.289  |
| None | 0.5 |   1    |  True  | 0.327  |
| None | 0.5 |   10   |  True  | 0.366  |
| None | 0.5 |  100   |  True  | 0.382  |
|  9   | 0.5 | 1e-05  |  True  | 0.301  |
|  9   | 0.5 | 0.0001 |  True  | 0.301  |
|  9   | 0.5 | 0.001  |  True  |  0.29  |
|  9   | 0.5 |  0.01  |  True  | 0.282  |
|  9   | 0.5 |  0.1   |  True  | 0.291  |
|  9   | 0.5 |   1    |  True  | 0.334  |
|  9   | 0.5 |   10   |  True  | 0.371  |
|  9   | 0.5 |  100   |  True  | 0.385  |
|  8   | 0.5 | 1e-05  |  True  | 0.274  |
|  8   | 0.5 | 0.0001 |  True  | 0.274  |
|  8   | 0.5 | 0.001  |  True  | 0.278  |
|  8   | 0.5 |  0.01  |  True  | 0.271  |
|  8   | 0.5 |  0.1   |  True  | 0.291  |
|  8   | 0.5 |   1    |  True  | 0.338  |
|  8   | 0.5 |   10   |  True  | 0.376  |
|  8   | 0.5 |  100   |  True  | 0.383  |
|  7   | 0.5 | 1e-05  |  True  | 0.286  |
|  7   | 0.5 | 0.0001 |  True  | 0.284  |
|  7   | 0.5 | 0.001  |  True  | 0.276  |
|  7   | 0.5 |  0.01  |  True  | 0.287  |
|  7   | 0.5 |  0.1   |  True  | 0.301  |
|  7   | 0.5 |   1    |  True  | 0.342  |
|  7   | 0.5 |   10   |  True  | 0.379  |
|  7   | 0.5 |  100   |  True  | 0.398  |
| None | 0.9 | 1e-05  | False  | 0.096  |
| None | 0.9 | 0.0001 | False  | 0.098  |
| None | 0.9 | 0.001  | False  | 0.096  |
| None | 0.9 |  0.01  | False  | 0.095  |
| None | 0.9 |  0.1   | False  | 0.101  |
| None | 0.9 |   1    | False  | 0.101  |
| None | 0.9 |   10   | False  | 0.099  |
| None | 0.9 |  100   | False  | 0.109  |
|  9   | 0.9 | 1e-05  | False  | 0.095  |
|  9   | 0.9 | 0.0001 | False  | 0.095  |
|  9   | 0.9 | 0.001  | False  | 0.092  |
|  9   | 0.9 |  0.01  | False  | 0.092  |
|  9   | 0.9 |  0.1   | False  | 0.107  |
|  9   | 0.9 |   1    | False  |  0.15  |
|  9   | 0.9 |   10   | False  |  0.17  |
|  9   | 0.9 |  100   | False  | 0.169  |
|  8   | 0.9 | 1e-05  | False  |  0.09  |
|  8   | 0.9 | 0.0001 | False  | 0.091  |
|  8   | 0.9 | 0.001  | False  | 0.091  |
|  8   | 0.9 |  0.01  | False  | 0.096  |
|  8   | 0.9 |  0.1   | False  | 0.109  |
|  8   | 0.9 |   1    | False  | 0.153  |
|  8   | 0.9 |   10   | False  | 0.172  |
|  8   | 0.9 |  100   | False  | 0.171  |
|  7   | 0.9 | 1e-05  | False  | 0.098  |
|  7   | 0.9 | 0.0001 | False  | 0.098  |
|  7   | 0.9 | 0.001  | False  | 0.097  |
|  7   | 0.9 |  0.01  | False  | 0.097  |
|  7   | 0.9 |  0.1   | False  | 0.111  |
|  7   | 0.9 |   1    | False  | 0.155  |
|  7   | 0.9 |   10   | False  | 0.172  |
|  7   | 0.9 |  100   | False  | 0.174  |
| None | 0.9 | 1e-05  |  True  | 0.099  |
| None | 0.9 | 0.0001 |  True  | 0.097  |
| None | 0.9 | 0.001  |  True  | 0.091  |
| None | 0.9 |  0.01  |  True  | 0.091  |
| None | 0.9 |  0.1   |  True  | 0.103  |
| None | 0.9 |   1    |  True  | 0.146  |
| None | 0.9 |   10   |  True  | 0.168  |
| None | 0.9 |  100   |  True  |  0.17  |
|  9   | 0.9 | 1e-05  |  True  | 0.095  |
|  9   | 0.9 | 0.0001 |  True  | 0.095  |
|  9   | 0.9 | 0.001  |  True  | 0.092  |
|  9   | 0.9 |  0.01  |  True  | 0.092  |
|  9   | 0.9 |  0.1   |  True  | 0.107  |
|  9   | 0.9 |   1    |  True  |  0.15  |
|  9   | 0.9 |   10   |  True  |  0.17  |
|  9   | 0.9 |  100   |  True  | 0.169  |
|  8   | 0.9 | 1e-05  |  True  |  0.09  |
|  8   | 0.9 | 0.0001 |  True  | 0.091  |
|  8   | 0.9 | 0.001  |  True  | 0.091  |
|  8   | 0.9 |  0.01  |  True  | 0.096  |
|  8   | 0.9 |  0.1   |  True  | 0.109  |
|  8   | 0.9 |   1    |  True  | 0.153  |
|  8   | 0.9 |   10   |  True  | 0.172  |
|  8   | 0.9 |  100   |  True  | 0.171  |
|  7   | 0.9 | 1e-05  |  True  | 0.098  |
|  7   | 0.9 | 0.0001 |  True  | 0.098  |
|  7   | 0.9 | 0.001  |  True  | 0.097  |
|  7   | 0.9 |  0.01  |  True  | 0.097  |
|  7   | 0.9 |  0.1   |  True  | 0.111  |
|  7   | 0.9 |   1    |  True  | 0.155  |
|  7   | 0.9 |   10   |  True  | 0.172  |
|  7   | 0.9 |  100   |  True  | 0.174  |
+------+-----+--------+--------+--------+ 

